enzyme_idx,string_id,uniprot_id
402,3847.A0A0R0II11,A0A0R0II11
403,3847.A0A0R0IIM8,A0A0R0IIM8
404,3847.A0A0R0IJ06,A0A0R0IJ06
405,3847.A0A0R0IJ31,A0A0R0IJ31
406,3847.A0A0R0IJS9,A0A0R0IJS9
407,3847.A0A0R0IJW3,A0A0R0IJW3
408,3847.A0A0R0ILL1,A0A0R0ILL1
409,3847.A0A0R0IMB6,A0A0R0IMB6
410,3847.A0A0R0IN22,A0A0R0IN22
411,3847.A0A0R0INS4,A0A0R0INS4
412,3847.A0A0R0IP64,A0A0R0IP64
413,3847.A0A0R0IPF3,A0A0R0IPF3
414,3847.A0A0R0IPF6,A0A0R0IPF6
415,3847.A0A0R0IPL2,A0A0R0IPL2
416,3847.A0A0R0IPN6,A0A0R0IPN6
417,3847.A0A0R0IQP5,A0A0R0IQP5
418,3847.A0A0R0IR07,A0A0R0IR07
419,3847.A0A0R0IRF6,A0A0R0IRF6
420,3847.A0A0R0IRH4,A0A0R0IRH4
421,3847.A0A0R0ISA2,A0A0R0ISA2
422,3847.A0A0R0ITV2,A0A0R0ITV2
423,3847.A0A0R0IUQ3,A0A0R0IUQ3
424,3847.A0A0R0IUS1,A0A0R0IUS1
425,3847.A0A0R0IUZ9,A0A0R0IUZ9
426,3847.A0A0R0IV35,A0A0R0IV35
427,3847.A0A0R0IW39,A0A0R0IW39
428,3847.A0A0R0IW52,A0A0R0IW52
429,3847.A0A0R0IWD3,A0A0R0IWD3
430,3847.A0A0R0IWM0,A0A0R0IWM0
431,3847.A0A0R0IWR1,A0A0R0IWR1
432,3847.A0A0R0IWR8,A0A0R0IWR8
433,3847.A0A0R0IWY8,A0A0R0IWY8
434,3847.A0A0R0IX90,A0A0R0IX90
435,3847.A0A0R0IXA8,A0A0R0IXA8
436,3847.A0A0R0IXG3,A0A0R0IXG3
437,3847.A0A0R0IXM7,A0A0R0IXM7
438,3847.A0A0R0IYK7,A0A0R0IYK7
439,3847.A0A0R0IZ75,A0A0R0IZ75
440,3847.A0A0R0IZG8,A0A0R0IZG8
441,3847.A0A0R0IZK1,A0A0R0IZK1
442,3847.A0A0R0IZU4,A0A0R0IZU4
443,3847.A0A0R0J065,A0A0R0J065
444,3847.A0A0R0J1E7,A0A0R0J1E7
445,3847.A0A0R0J250,A0A0R0J250
446,3847.A0A0R0J279,A0A0R0J279
447,3847.A0A0R0J294,A0A0R0J294
448,3847.A0A0R0J2W1,A0A0R0J2W1
449,3847.A0A0R0J4C8,A0A0R0J4C8
450,3847.A0A0R0J536,A0A0R0J536
451,3847.A0A0R0J5E2,A0A0R0J5E2
452,3847.A0A0R0J5F9,A0A0R0J5F9
453,3847.A0A0R0J5W4,A0A0R0J5W4
454,3847.A0A0R0J6G0,A0A0R0J6G0
455,3847.A0A0R0J6Q8,A0A0R0J6Q8
456,3847.A0A0R0J7N4,A0A0R0J7N4
457,3847.A0A0R0J8G3,A0A0R0J8G3
458,3847.A0A0R0J8M3,A0A0R0J8M3
459,3847.A0A0R0J963,A0A0R0J963
460,3847.A0A0R0J975,A0A0R0J975
461,3847.A0A0R0JA54,A0A0R0JA54
462,3847.A0A0R0JAJ0,A0A0R0JAJ0
463,3847.A0A0R0JAK1,A0A0R0JAK1
464,3847.A0A0R0JB31,A0A0R0JB31
465,3847.A0A0R0JB49,A0A0R0JB49
466,3847.A0A0R0JCN8,A0A0R0JCN8
467,3847.A0A0R0JCY0,A0A0R0JCY0
468,3847.A0A0R0JDW3,A0A0R0JDW3
469,3847.A0A0R0JDZ3,A0A0R0JDZ3
470,3847.A0A0R0JE01,A0A0R0JE01
471,3847.A0A0R0JEE4,A0A0R0JEE4
472,3847.A0A0R0JEQ1,A0A0R0JEQ1
