kegg_gene,uniprot
100306266,C6SYP6
100306267,C6SYP7
100306268,I1LMM1
100306269,C6SYQ2
100306270,K7MW48
100306271,Q7PCB2
100306272,C6SYQ4
100306273,C6SYQ6
100306274,C6SYQ8
100306275,C6SYQ9
100306276,I1LEX1
100306277,C6SYR1
100306278,C6SYR3
100306279,C6TEP1
100306280,C6SYR6
100306282,C6SYS0
100306284,C6SYS1
100306285,C6SYS2
100306286,C6SYS4
100306287,C6SYS5
100306288,A0A0R0ILX5
100306289,I1LZ84
100306290,C6SYT1
100306291,C6SYT2
100306292,C6SYT3
100306293,C6SYT4
100306294,C6SYT6
100306295,I1KP94
100306296,C6SYT9
100306297,C6SYU1
100306298,C6SYU2
100306299,C6SYU3
100306300,K7KAA7
100306301,C6SYU5
100306302,K7LW88
100306303,I1JQM2
100306304,C6SYU8
100306306,C6SYV1
100306307,C6SYV2
100306308,C6SYV3
100306310,C6SYV5
100306311,C6SYV6
100306313,C6SYV9
100306314,C6SYW0
100306315,C6SYW2
100306317,C6SYW4
100306319,C6SYW7
100306320,C6SYW9
100306321,I1MDW4
100306322,C6SYX1
100306323,C6SYX2
100306324,C6SYX3
100306325,C6SYX5
100306326,C6SYX6
100306327,C6SYX8
100306328,C6SYX9
100306329,C6SYY1
100306330,C6SYY2
100306331,C6SYY3
100306332,C6SYY4
100306333,C6SYY5
100306334,C6SYY6
100306335,C6SYY9
100306336,C6SYY8
100306337,C6SYZ1
100306338,C6SYZ2
100306339,C6SYZ3
100306340,C6SYZ5
100306341,I1LW10
100306342,C6SYZ7
100306343,C6SYZ9
100306344,C6SZ03
100306345,A0A0R0GX95
100306346,C6SZ05
100306347,C6SZ06
100306348,C6SZ07
100306349,C6SZ08
100306350,C6SZ09
100306351,C6SZ11
100306352,C6SZ12
100306353,C6SZ13
100306354,C6SZ15
100306355,C6SZ16
100306356,C6SZ17
100306359,C6SZ20
100306361,C6SZ22
100306362,C6SZ23
100306363,C6SZ24
100306364,C6SZ25
100306365,C6SZ28
100306366,C6SZ30
100306367,C6SZ31
100306368,I1KK69
100306369,C6SZ33
100306370,C6SZ35
100306371,C6SZ37
100306372,C6SZ38
100306373,A0A0R0I161
100306374,C6SZ40
100306375,C6SZ42
100306376,A0A0R4J2W3
100306377,C6SZ47
100306378,C6SZ46
100306379,C6SZ48
100306380,C6SZ49
100306381,C6SZ51
100306382,C6SZ53
100306383,C6SZ54
100306384,C6SZ55
100306385,C6SZ58
100306386,I1LTE6
100306388,C6SZ62
100306389,C6SZ63
100306390,C6SZ64
100306391,C6SZ67
100306392,C6SZ68
100306393,I1JDK7
100306394,C6SZ70
100306395,C6SZ71
100306396,C6SZ72
100306397,C6SZ74
100306398,C6SWG1
100306399,C6SZ79
100306401,C6SZ81
100306402,C6SZ82
100306403,C6SZ85
